track_id,track_name,track_popularity,track_duration_ms,explicit_lyrics,release_date,danceability,energy,musical_key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,release_year
6wfTb2he5ANMQSFnlamnyi,Save It for a Rainy Day,61,182213,0,2014-09-22,0.538,0.775,7,-5.48,1,0.0291,0.0053,0.0,0.0807,0.614,154.889,4,2014.0
66pxmg3Jhjm09tHoWR1wVR,All the Pretty Girls,68,212893,0,2017-04-28,0.612,0.848,6,-3.736,1,0.0368,0.00916,0.0,0.366,0.719,120.996,4,2017.0
1RfPA6mxhOvc5dVK9MHReF,Pirate Flag,58,225427,0,2013-04-30,0.559,0.795,7,-6.255,1,0.052,0.0787,4.83e-06,0.102,0.553,160.039,4,2013.0
2EEfUuBRZA4Ax1vYcluFS0,Knowing You,70,226267,0,2020-05-01,0.557,0.565,7,-6.12,1,0.026,0.229,3.9e-06,0.119,0.187,125.956,3,2020.0
7yMlw1v4NHmIcoRKdS1IJZ,La Calle De Las Sirenas,60,236093,0,2016-10-14,0.69,0.929,5,-6.014,1,0.028,0.0674,0.000696,0.0713,0.836,104.522,4,2016.0
4WMyTanyayUglX70vm5tCl,Yo No Muero en Mi Cama,44,247187,0,2014-01-10,0.875,0.583,1,-6.311,0,0.0659,0.497,2.65e-06,0.0651,0.84,139.986,4,2014.0
1CGVgBF0e7v6IqxDVaVP3k,Year 2000,0,186591,0,2013-12-02,0.645,0.498,10,-15.159,0,0.098,0.167,0.00609,0.418,0.523,89.982,4,2013.0
1HU0hFOLKJ980oC1hJ22Im,Nunca Cambies,60,157120,0,2018-01-26,0.683,0.481,10,-6.242,1,0.0422,0.438,0.0,0.106,0.8,140.064,4,2018.0
0zkx9E3WrGmBTMUnVU13eg,親密關係 (電影“行運一條龍”主題曲),39,245733,0,2013-07-09,0.55,0.597,11,-6.548,1,0.0253,0.0464,0.0,0.187,0.501,140.214,4,2013.0
7k9rCMMS9IH7RKT0AxJFzD,默契 (電影“百份百感覺2”主題曲),36,220720,0,2013-07-09,0.537,0.602,7,-5.891,1,0.0292,0.412,0.0,0.172,0.24,121.958,4,2013.0
22aK9s4qlC3T6C1OJot8gL,玻璃鞋 (電影“嫁個有錢人”主題曲),34,252187,0,2013-07-09,0.466,0.366,1,-9.606,1,0.0298,0.671,0.0,0.348,0.301,108.825,4,2013.0
7FEOh9YZDJnk3mcDdYd8xe,天生一半,30,218000,0,2014-07-01,0.505,0.628,0,-5.992,1,0.104,0.662,0.0,0.153,0.421,175.765,4,2014.0
32OTd4nleVKgDV4MYGUqUk,高山低谷 - Studio Version,33,248987,0,2015-03-19,0.479,0.581,4,-7.955,1,0.0429,0.457,0.0,0.188,0.502,143.997,4,2015.0
6rpEx62woxbdNbDWNlMFlv,如何掉眼淚,33,231480,0,2016-05-13,0.503,0.494,4,-8.281,1,0.0298,0.436,0.0,0.0968,0.21,127.719,4,2016.0
0rYhkYwO68SgF52C0al0ym,感情線上,33,245533,0,2016-05-13,0.481,0.531,8,-7.381,1,0.0281,0.28,0.0,0.13,0.437,88.985,4,2016.0
5q9Oe8RFr50aitXouoDXxz,默契,33,220107,0,2016-05-13,0.535,0.579,7,-6.038,1,0.0289,0.567,0.0,0.224,0.248,121.873,4,2016.0
7mkgfcip1n2inHYT0zCj03,千年如一日,39,272000,0,2018-08-17,0.522,0.496,4,-6.386,1,0.0309,0.749,0.0,0.15,0.297,137.947,4,2018.0
5uMdtM7YFGPx8Z2s73Uaov,千年如一日,32,271054,0,2018-07-13,0.541,0.43,4,-8.514,1,0.0335,0.754,0.0,0.212,0.3,138.099,4,2018.0
37gQxPrcu81gpr5SbOlIJO,我們都是這樣長大的,51,283184,0,2019-07-12,0.427,0.409,5,-10.06,1,0.0306,0.716,0.0,0.0958,0.37,159.826,4,2019.0
17rK9wMYbnbMfeeXKO5iZX,我們都是這樣長大的,43,283184,0,2019-06-26,0.427,0.409,5,-10.06,1,0.0306,0.716,0.0,0.0958,0.37,159.826,4,2019.0
3kpG6HkT4XyiHMNX52T2sN,Le cose in comune,36,255587,0,2013-07-23,0.85,0.534,0,-9.93,1,0.0531,0.763,0.0131,0.116,0.508,117.995,4,2013.0
4PvcpTYtMuqHDZ7X5WrdoS,Tutta colpa di Freud (Il giardino di Psiche),41,249907,0,2014-01-17,0.783,0.601,8,-9.804,1,0.0607,0.0272,8.67e-05,0.144,0.236,112.008,4,2014.0
7HmhmCf8QMeQpq3ozjiHUC,Quali alibi,41,273234,0,2016-01-15,0.691,0.773,9,-5.864,0,0.0516,0.313,5.75e-06,0.113,0.965,157.017,4,2016.0
67VT2GLbpJxnPRt7crlYCf,Nadie Es Eterno,41,219693,0,2015-04-15,0.704,0.811,5,-6.778,1,0.0319,0.279,2.62e-05,0.287,0.925,95.801,4,2015.0
0z9MHDgZvYVy10Gc5AVvjQ,He Chocado Con la Vida,39,317467,0,2015-04-15,0.681,0.657,7,-7.468,1,0.0354,0.448,0.0,0.0643,0.8,94.549,4,2015.0
5WifLAanJByRTaJJYkQEkg,Varför vill du inte ha mig,51,177891,0,2017-12-07,0.661,0.806,11,-7.108,0,0.0582,0.00663,0.0,0.281,0.823,127.977,4,2017.0
3wh7S6z82sKRuZFWr3o9KO,DANSA NAKEN,47,183924,0,2018-10-19,0.665,0.928,9,-6.468,0,0.0432,0.113,5.51e-06,0.363,0.873,102.028,4,2018.0
0fXANVK5oDCujoed5II6La,Piga & dräng,56,178377,0,2020-02-15,0.62,0.803,4,-6.993,1,0.0484,0.0227,0.0,0.645,0.717,133.938,4,2020.0
553qZyfPMksVBt2gyjzHGk,Ouvertura / Overture,0,640960,0,2021-04-08,0.237,0.0437,0,-22.039,1,0.0435,0.897,0.851,0.0622,0.0701,114.731,4,2021.0
4H3W2dGp0IQMo0EbMCxZpf,Quando una stella muore,43,200227,0,2014-10-14,0.442,0.699,7,-2.377,1,0.0298,0.137,0.0,0.303,0.206,143.712,4,2014.0
7jb5z1bchKlkYxbSoppnAn,Non mi ami,41,227360,0,2014-10-14,0.627,0.72,2,-4.152,0,0.0288,0.264,0.0,0.143,0.209,104.985,4,2014.0
1V7WemQ5uIEgtzQmhJyZOg,Io fra tanti,41,204027,0,2014-10-14,0.599,0.865,9,-3.985,1,0.0409,0.217,0.0,0.0968,0.459,120.118,4,2014.0
1WpAmvXAlHCUqn6Nnp8Op6,Oronero,50,213347,0,2016-11-04,0.543,0.506,5,-7.647,1,0.0473,0.251,0.0,0.0975,0.187,140.062,4,2016.0
5z7ozBZZGsaZfxwgvhfxNu,Credo,49,175053,0,2016-11-04,0.739,0.855,11,-4.611,1,0.0301,0.126,1.26e-06,0.472,0.82,113.978,4,2016.0
2TiU6Vb7nae8DUnXUKj6SK,Scelgo ancora te,48,206027,0,2016-11-04,0.425,0.457,1,-4.879,1,0.0291,0.365,0.0,0.101,0.327,87.813,4,2016.0
